OFF_FISICO,OFF_SPECIALE,TANK_FISICO,TANK_SPECIALE,Archetipo
90,20,145,95,Balanced
93,89,76,74,Balanced
134,134,130,130,Attaccante
60,70,70,90,Balanced
98,79,100,80,Balanced
110,130,80,80,Balanced
135,170,110,145,Attaccante
125,90,140,140,Balanced
140,140,140,140,Attaccante
90,90,79,79,Balanced
130,125,205,225,Tank
180,200,200,170,Elite/Leggendario
65,65,135,115,Balanced
85,90,165,165,Tank
140,130,80,80,Balanced
102,89,109,98,Balanced
235,125,160,160,Attaccante
190,220,130,140,Attaccante
115,95,165,145,Tank
171,138,210,163,Tank
150,120,95,95,Balanced
162,170,151,151,Attaccante
130,170,175,180,Tank
160,110,250,130,Tank
150,100,280,180,Tank
95,115,145,165,Tank
125,170,160,225,Tank
240,284,196,196,Elite/Leggendario
188,200,122,150,Attaccante
94,109,86,96,Balanced
237,180,181,181,Elite/Leggendario
85,85,75,90,Balanced
195,155,150,150,Attaccante
145,72,279,141,Tank
85,105,75,110,Balanced
97,60,140,90,Balanced
75,100,95,110,Balanced
140,145,140,145,Attaccante
65,55,110,110,Balanced
117,114,114,123,Balanced
140,95,225,270,Tank
97,102,112,113,Balanced
235,190,145,155,Elite/Leggendario
102,102,110,120,Balanced
95,100,100,105,Balanced
178,147,115,125,Attaccante
45,55,105,110,Balanced
114,74,205,190,Tank
132,158,120,140,Attaccante
99,76,119,110,Balanced
152,187,150,155,Attaccante
85,70,70,60,Balanced
100,100,85,85,Balanced
95,85,170,170,Tank
200,200,115,140,Attaccante
192,140,201,141,Tank
125,143,183,201,Tank
65,65,135,140,Balanced
210,150,190,170,Elite/Leggendario
135,116,140,140,Attaccante
95,85,95,85,Balanced
244,157,166,146,Elite/Leggendario
188,165,175,175,Elite/Leggendario
130,120,110,110,Balanced
50,85,105,105,Balanced
144,160,116,123,Attaccante
210,140,165,135,Attaccante
216,196,138,138,Attaccante
95,95,95,110,Balanced
260,195,250,215,Elite/Leggendario
115,160,180,105,Attaccante
240,250,140,210,Elite/Leggendario
40,60,100,100,Balanced
100,100,100,100,Balanced
140,140,130,150,Attaccante
130,130,100,105,Balanced
97,77,84,84,Balanced
150,150,150,150,Attaccante
145,205,133,183,Attaccante
181,171,158,153,Attaccante
205,145,133,183,Attaccante
105,105,210,140,Tank
200,190,150,150,Attaccante
225,225,215,215,Elite/Leggendario
70,62,78,63,Balanced
105,113,127,140,Balanced
105,135,130,160,Attaccante
100,130,100,55,Balanced
215,265,215,225,Elite/Leggendario
137,115,110,104,Balanced
115,100,195,80,Balanced
130,140,170,175,Tank
135,105,135,105,Balanced
152,157,168,157,Attaccante
135,225,150,150,Attaccante
117,117,98,98,Balanced
194,194,114,114,Attaccante
112,90,124,109,Balanced
200,200,200,200,Elite/Leggendario
184,209,156,163,Elite/Leggendario
174,142,187,140,Attaccante
95,70,90,90,Balanced
150,160,225,150,Tank
85,195,210,210,Tank
40,60,78,105,Balanced
131,121,118,113,Balanced
155,180,130,145,Attaccante
90,95,80,120,Balanced
122,145,120,116,Balanced
117,125,82,89,Balanced
98,113,193,208,Tank
151,191,157,157,Attaccante
155,130,65,65,Balanced
199,199,138,138,Attaccante
127,127,158,158,Tank
140,187,146,232,Tank
75,75,120,120,Balanced
140,140,155,200,Tank
90,65,120,95,Balanced
160,85,215,165,Tank
150,110,205,135,Tank
115,60,135,80,Balanced
70,155,115,125,Balanced
65,40,80,75,Balanced
194,176,135,130,Attaccante
200,170,85,105,Attaccante
96,106,120,90,Balanced
100,80,150,130,Balanced
176,181,148,173,Attaccante
138,117,145,128,Attaccante
158,160,82,100,Attaccante
135,157,195,215,Tank
205,165,210,170,Elite/Leggendario
180,95,245,170,Tank
145,110,165,115,Attaccante
122,112,183,183,Tank
210,192,153,141,Attaccante
120,140,85,85,Balanced
195,130,165,135,Attaccante
210,150,170,145,Attaccante
155,80,175,175,Tank
175,240,125,160,Attaccante
143,97,120,120,Balanced
203,223,182,182,Elite/Leggendario
160,120,175,175,Tank
115,80,90,90,Balanced
199,199,138,138,Attaccante
100,100,200,200,Tank
110,100,95,95,Balanced
75,86,138,143,Balanced
185,120,170,175,Tank
159,182,124,134,Attaccante
190,190,140,140,Attaccante
105,123,113,131,Balanced
85,130,65,110,Balanced
206,246,149,159,Elite/Leggendario
120,146,150,196,Tank
145,180,100,135,Attaccante
120,100,180,160,Tank
125,70,175,110,Balanced
156,146,160,130,Attaccante
270,240,260,190,Elite/Leggendario
160,180,106,110,Attaccante
115,60,130,110,Balanced
122,123,140,140,Attaccante
116,116,78,78,Balanced
90,40,140,80,Balanced
170,85,225,150,Tank
125,145,75,95,Balanced
117,117,98,98,Balanced
135,100,95,95,Balanced
85,75,145,100,Balanced
120,120,172,172,Tank
160,160,120,120,Attaccante
130,155,85,85,Balanced
107,120,98,100,Balanced
94,94,110,110,Balanced
156,126,139,139,Attaccante
97,108,128,119,Balanced
110,70,110,100,Balanced
230,200,125,125,Attaccante
115,105,112,112,Balanced
161,163,179,184,Tank
185,205,130,130,Attaccante
106,115,78,103,Balanced
130,95,80,80,Balanced
105,115,85,95,Balanced
130,90,200,110,Tank
146,166,142,142,Attaccante
223,138,170,175,Elite/Leggendario
145,75,205,205,Tank
170,150,139,139,Attaccante
75,75,165,120,Balanced
82,77,228,198,Tank
200,200,200,200,Elite/Leggendario
174,189,156,166,Attaccante
167,218,177,228,Elite/Leggendario
151,191,157,157,Attaccante
154,140,126,131,Attaccante
114,100,86,91,Balanced
210,115,150,150,Attaccante
182,127,173,166,Tank
125,89,129,115,Balanced
141,181,174,220,Tank
70,110,95,165,Balanced
120,120,120,120,Balanced
125,125,105,120,Balanced
145,210,100,160,Attaccante
165,95,190,190,Tank
170,180,190,215,Elite/Leggendario
108,131,77,87,Balanced
105,130,175,205,Tank
85,115,73,93,Balanced
159,159,167,177,Tank
155,120,105,95,Balanced
215,160,150,150,Attaccante
130,60,185,135,Tank
80,50,140,85,Balanced
75,110,95,95,Balanced
195,156,210,200,Elite/Leggendario
65,65,85,85,Balanced
180,237,181,181,Elite/Leggendario
206,141,174,195,Elite/Leggendario
76,66,99,99,Balanced
99,99,112,112,Balanced
125,115,95,95,Balanced
134,128,162,162,Tank
150,110,180,160,Tank
157,140,117,114,Attaccante
123,83,120,120,Balanced
51,56,105,75,Balanced
250,222,140,140,Elite/Leggendario
300,300,100,100,Elite/Leggendario
135,143,121,181,Attaccante
188,188,170,170,Elite/Leggendario
115,115,130,150,Balanced
85,115,110,110,Balanced
47,47,143,143,Balanced
260,180,220,220,Elite/Leggendario
55,85,255,355,Tank
180,170,135,138,Attaccante
198,198,163,220,Elite/Leggendario
125,105,160,140,Tank
95,95,90,100,Balanced
185,185,138,138,Attaccante
215,190,110,110,Attaccante
160,215,125,165,Attaccante
135,113,156,119,Attaccante
46,46,143,143,Balanced
170,145,190,190,Tank
120,140,132,152,Attaccante
100,150,180,280,Tank
245,245,195,195,Elite/Leggendario
110,150,135,205,Tank
90,90,110,110,Balanced
193,220,165,165,Elite/Leggendario
178,208,142,170,Attaccante
95,90,40,75,Balanced
240,240,240,240,Elite/Leggendario
154,112,207,160,Tank
168,165,185,204,Tank
127,133,81,85,Balanced
203,137,175,175,Tank
168,108,167,167,Tank
102,87,139,119,Balanced
100,75,157,99,Balanced
90,90,120,135,Balanced
215,190,200,190,Elite/Leggendario
66,55,69,80,Balanced
199,199,138,138,Attaccante
130,155,168,185,Tank
171,191,122,122,Attaccante
100,95,35,55,Balanced
145,135,215,205,Tank
109,70,109,109,Balanced
101,128,173,190,Tank
90,85,105,150,Balanced
137,100,85,85,Balanced
65,130,265,390,Tank
155,200,152,152,Attaccante
146,136,146,146,Attaccante
105,92,145,135,Balanced
240,210,220,200,Elite/Leggendario
115,85,275,140,Tank
165,131,200,180,Tank
116,131,132,140,Balanced
179,110,169,169,Tank
80,110,170,130,Balanced
144,160,116,123,Attaccante
99,86,121,101,Balanced
85,75,110,100,Balanced
185,100,200,170,Tank
205,125,170,105,Attaccante
148,103,180,180,Tank
110,85,79,79,Balanced
215,260,160,160,Elite/Leggendario
100,85,110,115,Balanced
137,120,118,116,Balanced
66,66,248,248,Tank
195,240,125,160,Elite/Leggendario
165,110,185,130,Tank
117,95,119,104,Balanced
170,110,210,150,Tank
151,191,157,157,Attaccante
190,220,170,210,Elite/Leggendario
85,70,121,61,Balanced
105,105,155,155,Tank
125,91,160,140,Tank
95,155,185,195,Tank
210,210,250,250,Elite/Leggendario
115,170,195,140,Tank
110,195,40,80,Balanced
218,190,142,160,Elite/Leggendario
143,123,142,142,Attaccante
90,95,75,40,Balanced
108,88,91,103,Balanced
190,125,175,175,Tank
170,255,100,150,Attaccante
165,120,105,145,Attaccante
108,87,114,98,Balanced
100,85,75,80,Balanced
240,240,145,145,Elite/Leggendario
200,240,160,190,Elite/Leggendario
165,165,145,170,Attaccante
60,90,80,80,Balanced
185,180,125,130,Attaccante
108,106,93,91,Balanced
170,90,204,204,Tank
160,180,95,115,Attaccante
115,115,105,110,Balanced
159,115,226,180,Tank
180,220,140,210,Elite/Leggendario
100,110,110,130,Balanced
165,175,135,135,Attaccante
80,86,90,116,Balanced
102,87,89,69,Balanced
220,150,155,145,Attaccante
125,195,175,160,Attaccante
207,122,103,160,Attaccante
209,157,175,165,Elite/Leggendario
275,275,140,140,Elite/Leggendario
122,140,123,140,Attaccante
230,230,221,224,Elite/Leggendario
150,200,145,145,Attaccante
80,140,95,80,Balanced
160,120,170,130,Attaccante
80,95,118,135,Balanced
143,143,135,135,Attaccante
82,91,124,138,Balanced
104,70,146,110,Balanced
136,166,160,130,Attaccante
115,180,60,65,Balanced
115,85,108,78,Balanced
156,119,105,105,Balanced
170,115,95,95,Balanced
200,230,165,190,Elite/Leggendario
60,60,95,70,Balanced
128,128,183,183,Tank
178,178,115,115,Attaccante
330,330,70,70,Elite/Leggendario
180,170,150,150,Attaccante
130,100,140,130,Balanced
230,230,221,224,Elite/Leggendario
103,83,102,102,Balanced
141,186,127,127,Attaccante
122,100,114,99,Balanced
230,247,175,175,Elite/Leggendario
160,175,215,215,Tank
140,65,115,115,Balanced
190,178,135,125,Attaccante
141,179,130,130,Attaccante
60,60,60,60,Balanced
152,187,150,155,Attaccante
205,155,195,130,Attaccante
112,102,88,83,Balanced
108,90,110,110,Balanced
205,195,170,170,Elite/Leggendario
171,211,172,142,Attaccante
65,100,95,95,Balanced
205,225,135,155,Elite/Leggendario
190,161,130,126,Attaccante
125,165,95,130,Attaccante
191,171,148,148,Attaccante
166,135,149,140,Attaccante
115,140,70,70,Balanced
160,170,110,110,Attaccante
200,200,200,200,Elite/Leggendario
72,72,148,118,Balanced
185,185,185,185,Elite/Leggendario
64,84,143,153,Balanced
180,210,130,130,Attaccante
236,196,179,169,Elite/Leggendario
145,145,210,225,Tank
265,215,225,215,Elite/Leggendario
130,155,90,95,Balanced
85,65,120,100,Balanced
105,65,130,130,Balanced
111,111,88,88,Balanced
170,170,130,130,Attaccante
120,90,110,110,Balanced
245,170,135,155,Attaccante
135,190,105,160,Attaccante
190,160,175,145,Attaccante
130,101,70,71,Balanced
108,63,145,82,Balanced
110,120,75,140,Balanced
181,111,129,160,Attaccante
140,160,150,180,Attaccante
196,176,152,152,Attaccante
150,180,180,160,Attaccante
193,171,155,155,Attaccante
137,116,144,128,Attaccante
140,144,140,144,Attaccante
157,113,145,153,Attaccante
202,223,123,127,Attaccante
154,200,151,151,Attaccante
188,190,141,138,Attaccante
193,197,140,137,Attaccante
178,187,136,136,Attaccante
167,226,125,162,Attaccante
139,145,140,144,Attaccante
144,160,116,123,Attaccante
198,130,146,123,Attaccante
176,211,149,161,Attaccante
199,150,142,163,Attaccante
159,170,110,110,Attaccante
175,166,138,166,Attaccante
161,158,161,161,Attaccante
163,163,149,167,Attaccante
177,144,117,124,Attaccante
125,164,95,129,Attaccante
208,197,138,138,Attaccante
153,147,156,137,Attaccante
151,189,154,156,Attaccante
189,159,175,145,Attaccante
153,157,166,157,Attaccante
167,135,152,146,Attaccante
215,117,152,152,Attaccante
157,138,127,130,Attaccante
208,116,151,148,Attaccante
125,146,121,140,Attaccante
184,185,138,137,Attaccante
176,180,151,172,Attaccante
151,188,153,155,Attaccante
215,159,150,149,Attaccante
193,196,140,136,Attaccante
164,165,149,150,Attaccante
150,125,142,142,Attaccante
214,150,163,145,Attaccante
157,181,125,137,Attaccante
122,130,132,140,Attaccante
160,173,104,111,Attaccante
135,190,104,161,Attaccante
147,191,159,157,Attaccante
200,156,150,150,Attaccante
158,139,119,117,Attaccante
207,184,135,135,Attaccante
122,123,139,139,Attaccante
163,156,163,163,Attaccante
190,190,139,139,Attaccante
145,158,157,169,Attaccante
141,121,141,141,Attaccante
189,190,140,139,Attaccante
136,113,142,134,Attaccante
140,140,134,145,Attaccante
150,152,155,152,Attaccante
120,140,130,150,Attaccante
152,187,150,155,Attaccante
172,123,132,123,Attaccante
211,183,135,135,Attaccante
169,149,139,139,Attaccante
115,154,168,119,Attaccante
211,153,163,146,Attaccante
218,148,156,143,Attaccante
195,157,151,151,Attaccante
183,169,158,154,Attaccante
208,192,151,140,Attaccante
204,172,100,107,Attaccante
161,161,122,122,Attaccante
161,131,144,139,Attaccante
197,166,86,104,Attaccante
193,133,140,120,Attaccante
195,143,165,130,Attaccante
212,159,153,144,Attaccante
150,150,151,150,Attaccante
135,159,162,162,Attaccante
157,158,153,155,Attaccante
156,140,117,114,Attaccante
170,107,139,160,Attaccante
231,251,177,177,Elite/Leggendario
210,226,142,159,Elite/Leggendario
196,238,126,159,Elite/Leggendario
235,180,188,185,Elite/Leggendario
200,200,200,200,Elite/Leggendario
200,200,200,200,Elite/Leggendario
180,237,181,181,Elite/Leggendario
239,283,195,195,Elite/Leggendario
231,157,169,152,Elite/Leggendario
202,145,184,196,Elite/Leggendario
230,230,221,224,Elite/Leggendario
190,229,179,223,Elite/Leggendario
189,200,200,184,Elite/Leggendario
195,195,195,195,Elite/Leggendario
200,200,200,200,Elite/Leggendario
261,199,243,215,Elite/Leggendario
216,258,215,223,Elite/Leggendario
208,153,174,171,Elite/Leggendario
206,195,200,195,Elite/Leggendario
200,205,167,167,Elite/Leggendario
237,240,145,145,Elite/Leggendario
172,223,180,231,Elite/Leggendario
191,214,168,212,Elite/Leggendario
208,154,196,170,Elite/Leggendario
292,292,111,111,Elite/Leggendario
181,235,180,180,Elite/Leggendario
225,225,215,215,Elite/Leggendario
195,203,164,217,Elite/Leggendario
184,208,156,163,Elite/Leggendario
212,250,206,222,Elite/Leggendario
191,191,268,268,Elite/Leggendario
195,227,181,181,Elite/Leggendario
200,200,200,200,Elite/Leggendario
201,229,131,156,Elite/Leggendario
207,194,200,194,Elite/Leggendario
201,243,138,159,Elite/Leggendario
171,221,150,168,Elite/Leggendario
247,201,185,173,Elite/Leggendario
171,224,157,161,Elite/Leggendario
243,232,204,196,Elite/Leggendario
232,225,220,218,Elite/Leggendario
264,211,229,215,Elite/Leggendario
199,160,175,169,Elite/Leggendario
269,239,259,190,Elite/Leggendario
180,237,181,181,Elite/Leggendario
264,241,127,127,Elite/Leggendario
192,216,180,176,Elite/Leggendario
191,236,128,162,Elite/Leggendario
202,252,202,232,Elite/Leggendario
230,230,221,224,Elite/Leggendario
235,185,201,190,Elite/Leggendario
243,257,195,195,Elite/Leggendario
237,214,220,205,Elite/Leggendario
197,235,127,158,Elite/Leggendario
188,220,163,164,Elite/Leggendario
228,243,165,169,Elite/Leggendario
191,224,175,180,Elite/Leggendario
260,196,248,215,Elite/Leggendario
236,217,220,209,Elite/Leggendario
212,252,217,212,Elite/Leggendario
180,237,181,181,Elite/Leggendario
224,234,152,162,Elite/Leggendario
224,232,215,222,Elite/Leggendario
188,188,188,188,Elite/Leggendario
197,219,181,178,Elite/Leggendario
183,225,168,173,Elite/Leggendario
236,183,180,178,Elite/Leggendario
212,191,200,191,Elite/Leggendario
205,164,209,169,Elite/Leggendario
178,219,173,218,Elite/Leggendario
246,213,141,143,Elite/Leggendario
218,190,142,160,Elite/Leggendario
195,156,210,198,Elite/Leggendario
203,152,198,183,Elite/Leggendario
237,242,146,146,Elite/Leggendario
200,200,200,200,Elite/Leggendario
185,222,146,204,Elite/Leggendario
202,229,132,156,Elite/Leggendario
196,153,204,199,Elite/Leggendario
231,231,223,226,Elite/Leggendario
206,195,200,195,Elite/Leggendario
200,231,164,190,Elite/Leggendario
208,154,174,169,Elite/Leggendario
189,216,180,175,Elite/Leggendario
183,215,144,212,Elite/Leggendario
227,226,177,170,Elite/Leggendario
262,203,239,215,Elite/Leggendario
178,223,158,161,Elite/Leggendario
199,238,160,191,Elite/Leggendario
226,235,148,158,Elite/Leggendario
237,237,234,235,Elite/Leggendario
200,200,200,200,Elite/Leggendario
212,197,167,167,Elite/Leggendario
179,213,151,168,Elite/Leggendario
240,209,219,199,Elite/Leggendario
181,220,145,210,Elite/Leggendario
231,182,202,193,Elite/Leggendario
194,201,163,166,Elite/Leggendario
320,320,82,82,Elite/Leggendario
200,200,200,200,Elite/Leggendario
196,213,166,166,Elite/Leggendario
203,154,185,171,Elite/Leggendario
227,246,146,203,Elite/Leggendario
236,197,212,196,Elite/Leggendario
219,239,152,199,Elite/Leggendario
224,234,152,162,Elite/Leggendario
207,171,207,175,Elite/Leggendario
210,210,137,157,Elite/Leggendario
225,224,215,214,Elite/Leggendario
260,187,234,217,Elite/Leggendario
206,195,169,169,Elite/Leggendario
223,222,170,169,Elite/Leggendario
263,210,253,206,Elite/Leggendario
201,161,210,180,Elite/Leggendario
269,269,120,120,Elite/Leggendario
227,248,172,172,Elite/Leggendario
214,237,220,205,Elite/Leggendario
200,240,195,229,Elite/Leggendario
234,180,190,186,Elite/Leggendario
242,235,143,143,Elite/Leggendario
239,239,145,146,Elite/Leggendario
187,188,170,170,Elite/Leggendario
215,241,149,159,Elite/Leggendario
189,189,189,189,Elite/Leggendario
190,162,174,177,Elite/Leggendario
213,258,216,218,Elite/Leggendario
185,185,184,184,Elite/Leggendario
241,271,195,195,Elite/Leggendario
262,206,236,215,Elite/Leggendario
206,195,200,195,Elite/Leggendario
180,236,180,180,Elite/Leggendario
248,219,140,141,Elite/Leggendario
232,247,232,235,Elite/Leggendario
187,187,187,187,Elite/Leggendario
215,215,242,243,Elite/Leggendario
184,231,178,180,Elite/Leggendario
250,206,201,185,Elite/Leggendario
201,230,131,156,Elite/Leggendario
233,196,176,168,Elite/Leggendario
242,240,241,236,Elite/Leggendario
232,183,204,193,Elite/Leggendario
200,200,200,200,Elite/Leggendario
260,190,240,216,Elite/Leggendario
239,245,187,187,Elite/Leggendario
173,220,155,160,Elite/Leggendario
181,195,195,174,Elite/Leggendario
291,291,112,112,Elite/Leggendario
260,192,245,215,Elite/Leggendario
195,201,159,218,Elite/Leggendario
214,235,204,218,Elite/Leggendario
210,253,155,159,Elite/Leggendario
219,218,179,172,Elite/Leggendario
171,220,150,168,Elite/Leggendario
248,207,187,174,Elite/Leggendario
187,212,170,170,Elite/Leggendario
325,325,75,75,Elite/Leggendario
200,200,200,200,Elite/Leggendario
232,232,207,207,Elite/Leggendario
193,240,191,236,Elite/Leggendario
211,211,247,248,Elite/Leggendario
224,234,152,162,Elite/Leggendario
201,223,181,181,Elite/Leggendario
233,191,147,156,Elite/Leggendario
232,181,202,192,Elite/Leggendario
248,203,232,206,Elite/Leggendario
218,218,237,238,Elite/Leggendario
222,226,165,169,Elite/Leggendario
229,183,187,183,Elite/Leggendario
219,198,161,164,Elite/Leggendario
226,236,149,159,Elite/Leggendario
232,190,144,155,Elite/Leggendario
151,164,197,201,Tank
117,163,166,241,Tank
93,159,187,196,Tank
95,112,207,148,Tank
160,164,211,211,Tank
125,125,227,229,Tank
101,112,207,210,Tank
132,157,169,183,Tank
135,93,277,163,Tank
98,111,193,207,Tank
197,131,173,175,Tank
136,134,183,182,Tank
152,82,199,199,Tank
166,139,185,180,Tank
144,169,172,183,Tank
151,158,204,211,Tank
120,146,150,195,Tank
166,135,196,183,Tank
129,125,165,165,Tank
138,179,171,220,Tank
120,92,162,142,Tank
98,106,196,204,Tank
168,106,210,148,Tank
196,129,173,173,Tank
171,96,241,168,Tank
128,128,226,229,Tank
127,141,183,196,Tank
125,125,183,188,Tank
140,143,206,209,Tank
130,101,132,178,Tank
70,68,242,235,Tank
101,128,173,193,Tank
105,93,165,151,Tank
123,116,183,183,Tank
161,174,213,213,Tank
119,99,179,160,Tank
179,100,202,163,Tank
140,165,174,180,Tank
89,127,250,324,Tank
125,125,229,229,Tank
152,110,180,196,Tank
120,186,187,216,Tank
136,164,188,216,Tank
115,110,186,186,Tank
134,110,181,181,Tank
97,98,175,175,Tank
117,97,171,151,Tank
128,128,181,182,Tank
178,115,168,172,Tank
122,95,168,141,Tank
130,98,212,130,Tank
168,162,182,192,Tank
115,95,164,144,Tank
154,99,183,183,Tank
179,125,170,166,Tank
167,90,230,145,Tank
107,110,209,210,Tank
133,132,183,181,Tank
136,164,188,216,Tank
167,107,166,164,Tank
142,177,173,208,Tank
160,171,213,213,Tank
94,114,186,175,Tank
100,113,178,181,Tank
155,155,166,178,Tank
157,113,226,178,Tank
150,109,205,135,Tank
136,170,173,181,Tank
171,149,212,145,Tank
93,161,189,197,Tank
194,128,175,175,Tank
166,117,162,167,Tank
125,139,183,197,Tank
165,85,220,156,Tank
180,113,169,170,Tank
141,163,172,182,Tank
93,110,148,165,Tank
99,109,179,179,Tank
90,95,209,203,Tank
166,132,202,175,Tank
165,105,165,150,Tank
97,113,193,208,Tank
135,120,181,181,Tank
99,112,192,205,Tank
169,108,210,149,Tank
120,149,154,191,Tank
168,166,190,204,Tank
132,126,206,221,Tank
101,101,198,198,Tank
144,100,212,139,Tank
171,114,174,156,Tank
150,101,181,181,Tank
168,114,175,155,Tank
116,157,137,210,Tank
100,99,215,206,Tank
123,93,240,137,Tank
134,106,226,255,Tank
165,105,165,150,Tank
145,159,165,189,Tank
149,167,170,182,Tank
133,168,175,180,Tank
172,115,164,167,Tank
166,148,182,180,Tank
179,109,169,169,Tank
129,65,180,135,Tank
145,145,210,224,Tank
183,128,179,175,Tank
188,125,174,173,Tank
167,112,164,167,Tank
175,108,167,164,Tank
118,123,154,159,Tank
183,103,190,169,Tank
115,137,179,202,Tank
159,87,182,182,Tank
150,103,237,152,Tank
140,114,180,180,Tank
178,95,201,183,Tank
178,109,168,168,Tank
145,152,205,212,Tank
85,89,165,165,Tank
124,124,178,178,Tank
186,128,181,181,Tank
103,126,242,286,Tank
126,80,168,138,Tank
127,120,229,235,Tank
